,id,mark,name,price,params
0,i4126437279,Audi,"Audi Q7 2.0 AT, 2023, 10 км",7500000,"10 км, 2.0 AT (252 л.с.), внедорожник, полный, бензин"
1,i4094029403,Audi,"Audi Q7 3.0 AT, 2010, 244 000 км",1570000,"244 000 км, 3.0 AT (333 л.с.), внедорожник, полный, бензин"
2,i4228945917,Audi,"Audi Q7 3.6 AT, 2010, 240 000 км",2200000,"240 000 км, 3.6 AT (280 л.с.), внедорожник, полный, бензин"
3,i4026986935,Audi,"Audi Q7 3.0 AT, 2020, 54 000 км",7650000,"54 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель"
4,i4221614908,Audi,"Audi Q7 2.0 AT, 2023, 200 км",9500000,"200 км, 2.0 AT (252 л.с.), внедорожник, полный, бензин"
5,i3936416681,Audi,"Audi Q5 2.0 AMT, 2022, 11 000 км",5500000,"11 000 км, 2 AMT (265 л.с.), внедорожник, полный, бензин"
6,i4010466036,Audi,"Audi A6 3.0 AMT, 2019, 47 000 км",6399999,"47 000 км, 3 AMT (340 л.с.), седан, полный, бензин"
7,i3739057915,Audi,"Audi e-tron AT, 2021, 14 000 км",8390000,"14 000 км, AT (408 л.с.), внедорожник, полный, электро"
8,i4058707112,Audi,"Audi A6 2.0 AMT, 2022, 20 000 км",8200000,"20 000 км, 2 AMT (204 л.с.), седан, полный, дизель"
9,i4112758281,Audi,"Audi A4 1.8 CVT, 2010, 282 000 км",1080000,"282 000 км, 1.8 CVT (160 л.с.), седан, передний, бензин"
10,i3972915633,Audi,"Audi A4 1.8 CVT, 2013, 153 414 км",1350230,"153 414 км, 1.8 CVT (170 л.с.), седан, передний, бензин"
11,i3887173061,Audi,"Audi A3 1.2 AMT, 2012, 201 738 км",689880,"201 738 км, 1.2 AMT (105 л.с.), хетчбэк, передний, бензин"
12,i4229451785,Audi,"Audi Q7 3.0 AT, 2008, 290 000 км",1300000,"290 000 км, 3.0 AT (238 л.с.), внедорожник, полный, дизель"
13,i3528606439,Audi,"Audi Q7 3.0 AT, 2016, 136 673 км",4249000,"136 673 км, 3 AT (249 л.с.), внедорожник, полный, дизель"
14,i4156063281,Audi,"Audi A5 2.0 AMT, 2020, 45 000 км",4600000,"45 000 км, 2.0 AMT (249 л.с.), купе, полный, бензин"
15,i4000297190,Audi,"Audi A1 1.4 AMT, 2012, 185 840 км",1100000,"185 840 км, 1.4 AMT (122 л.с.), хетчбэк, передний, бензин"
16,i3509163126,Audi,"Audi A6 2.4 CVT, 2008, 179 037 км",720000,"179 037 км, 2.4 CVT (177 л.с.), седан, передний, бензин"
17,i4152882630,Audi,"Audi A5 2.0 AMT, 2018, 73 400 км",3460000,"73 400 км, 2 AMT (190 л.с.), купе, полный, дизель"
18,i4250176239,Audi,"Audi A6 1.8 AMT, 2017, 119 100 км",2294100,"119 100 км, 1.8 AMT (190 л.с.), седан, передний, бензин"
19,i4272082170,Audi,"Audi Q5 2.0 AMT, 2021, 63 315 км",4900000,"63 315 км, 2.0 AMT (249 л.с.), внедорожник, полный, бензин"
20,i4294226918,Audi,"Audi A3 1.4 AMT, 2018, 139 000 км",1950000,"139 000 км, 1.4 AMT (150 л.с.), седан, передний, бензин"
21,i4343604046,Audi,"Audi Q7 3.0 AT, 2015, 160 288 км",4049000,"160 288 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель"
22,i4673673015,Audi,"Audi A6 2.4 CVT, 2005, битый, 190 145 км",525000,"Битый, 190 145 км, 2.4 CVT (177 л.с.), седан, передний, бензин"
23,i4009177406,Audi,"Audi A4 2.0 CVT, 2006, 262 000 км",699000,"262 000 км, 2.0 CVT (130 л.с.), седан, передний, бензин"
24,i4281857962,Audi,"Audi A6 2.0 AMT, 2020, 57 913 км",4394700,"57 913 км, 2 AMT (245 л.с.), седан, полный, бензин"
25,i4089220601,Audi,"Audi Q5 2.0 AT, 2010, 157 403 км",1800000,"157 403 км, 2 AT (211 л.с.), внедорожник, полный, бензин"
26,i4045922836,Audi,"Audi A6 2.0 AMT, 2019, 70 760 км",4100000,"70 760 км, 2.0 AMT (245 л.с.), седан, полный, бензин"
27,i4229852770,Audi,"Audi A6 2.8 AMT, 2015, 119 000 км",2500000,"119 000 км, 2.8 AMT (220 л.с.), седан, полный, бензин"
28,i4061208138,Audi,"Audi A6 2.8 AT, 2009, 200 000 км",1000000,"200 000 км, 2.8 AT (220 л.с.), седан, полный, бензин"
29,i4099156535,Audi,"Audi A7 3.0 AMT, 2013, 212 000 км",2320000,"212 000 км, 3 AMT (245 л.с.), лифтбек, полный, дизель"
30,i3934082101,Audi,"Audi SQ5 3.0 AT, 2015, 139 000 км",2649000,"139 000 км, 3.0 AT (354 л.с.), внедорожник, полный, бензин"
31,i4099222509,Audi,"Audi Q3 2.0 AMT, 2018, 57 500 км",3250000,"57 500 км, 2.0 AMT (180 л.с.), внедорожник, полный, бензин"
32,i4314392908,Audi,"Audi A4 1.4 AMT, 2018, 108 000 км",2249000,"108 000 км, 1.4 AMT (150 л.с.), седан, передний, бензин"
33,i4197543091,Audi,"Audi A4 Allroad Quattro 2.0 AMT, 2013, 260 000 км",1415000,"260 000 км, 2 AMT (225 л.с.), универсал, полный, бензин"
34,i3831200334,Audi,"Audi S8 5.2 AT, 2008, 280 000 км",1700000,"280 000 км, 5.2 AT (450 л.с.), седан, полный, бензин"
35,i2108937365,Audi,"Audi Q7 3.0 AT, 2015, 176 000 км",3350000,"176 000 км, 3.0 AT (333 л.с.), внедорожник, полный, бензин"
36,i4061745517,Audi,"Audi Q5 2.0 AT, 2012, 249 800 км",1800000,"249 800 км, 2 AT (225 л.с.), внедорожник, полный, бензин"
37,i3951653215,Audi,"Audi Q5 2.0 AT, 2010, 106 600 км",1399000,"106 600 км, 2.0 AT (211 л.с.), внедорожник, полный, бензин"
38,i4086886619,Audi,"Audi A4 2.0 AMT, 2020, 84 397 км",3400000,"84 397 км, 2.0 AMT (150 л.с.), седан, передний, бензин"
39,i4006995232,Audi,"Audi S3 2.0 AMT, 2021, 79 000 км",4399000,"79 000 км, 2.0 AMT (310 л.с.), хетчбэк, полный, бензин"
40,i4164944682,Audi,"Audi A5 2.0 AMT, 2013, 168 000 км",1690000,"168 000 км, 2.0 AMT (225 л.с.), лифтбек, полный, бензин"
41,i4115334375,Audi,"Audi A6 3.0 AT, 2019, 51 000 км",5700000,"51 000 км, 3.0 AT (231 л.с.), седан, полный, дизель"
42,i3675665511,Audi,"Audi Q5 2.0 AT, 2011, 227 020 км",1459000,"227 020 км, 2.0 AT (211 л.с.), внедорожник, полный, бензин"
43,i4190087112,Audi,"Audi Q3 2.0 AMT, 2013, 132 200 км",1750000,"132 200 км, 2 AMT (170 л.с.), внедорожник, полный, бензин"
44,i4562025311,Audi,"Audi A6 1.8 AMT, 2015, 189 631 км",1790000,"189 631 км, 1.8 AMT (190 л.с.), седан, передний, бензин"
45,i3883738165,Audi,"Audi A5 3.2 CVT, 2008, 21 100 км",2000000,"21 100 км, 3.2 CVT (265 л.с.), купе, передний, бензин"
46,i4006983030,Audi,"Audi 100 2.3 AT, 1992, 494 000 км",99999,"494 000 км, 2.3 AT (133 л.с.), седан, передний, бензин"
47,i4251155926,Audi,"Audi A5 1.8 CVT, 2015, 130 000 км",2145000,"130 000 км, 1.8 CVT (170 л.с.), лифтбек, передний, бензин"
48,i4142560631,Audi,"Audi A4 2.0 AMT, 2017, 143 817 км",2350000,"143 817 км, 2 AMT (190 л.с.), седан, передний, бензин"
49,i4125279976,Audi,"Audi A3 1.2 AMT, 2014, 122 700 км",1400000,"122 700 км, 1.2 AMT (110 л.с.), хетчбэк, передний, бензин"
50,i3985155069,Audi,"Audi A6 3.0 AMT, 2011, 267 000 км",2550000,"267 000 км, 3 AMT (245 л.с.), седан, полный, дизель"
51,i4282351972,Audi,"Audi A6 2.0 AMT, 2018, 163 000 км",2687200,"163 000 км, 2.0 AMT (190 л.с.), седан, передний, дизель"
